n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
10,3,2,0,150,stree,minmax,150,16,0.000305
12,3,2,2,252,stree,minmax,252,27,0.000452
14,3,2,4,378,stree,minmax,378,51,0.000938
5,4,1,0,20,stree,minmax,20,7,9.1e-05
16,3,2,6,528,stree,minmax,528,69,0.003011
6,4,1,1,36,stree,minmax,36,23,0.000226
7,4,1,2,56,stree,minmax,56,45,0.000426
8,4,1,3,80,stree,minmax,80,19,0.000252
9,4,1,4,108,stree,minmax,108,32,0.000458
6,5,1,0,30,stree,minmax,30,11,0.000134
10,4,1,5,140,stree,minmax,140,38,0.000547
4,3,1,0,12,basic,basic,12,4,3.6e-05
8,5,1,2,72,stree,minmax,72,224,0.004076
6,3,1,2,42,basic,basic,42,44,0.000138
8,3,1,4,88,basic,basic,88,642,0.003095
10,3,2,0,150,basic,basic,150,16,8.8e-05
12,3,2,2,252,basic,basic,252,76,0.000232
14,3,2,4,378,basic,basic,378,3950,0.020296
5,4,1,0,20,basic,basic,20,7,0.000126
6,4,1,1,36,basic,basic,36,46,0.000166
7,4,1,2,56,basic,basic,56,131,0.000386
8,4,1,3,80,basic,basic,80,670,0.001845
9,4,1,4,108,basic,basic,108,506,0.001372
10,4,1,5,140,basic,basic,140,38126,0.262939
6,5,1,0,30,basic,basic,30,11,7.7e-05
8,5,1,2,72,basic,basic,72,711,0.002302
4,3,1,0,12,basic,minmax,12,4,5.1e-05
6,3,1,2,42,basic,minmax,42,38,0.000357
8,3,1,4,88,basic,minmax,88,78,0.00098
10,3,2,0,150,basic,minmax,150,16,0.000247
12,3,2,2,252,basic,minmax,252,70,0.001034
14,3,2,4,378,basic,minmax,378,1300,0.054384
16,3,2,6,528,basic,basic,528,4066148,14.6411
5,4,1,0,20,basic,minmax,20,7,7.9e-05
6,4,1,1,36,basic,minmax,36,46,0.000382
7,4,1,2,56,basic,minmax,56,119,0.001135
8,4,1,3,80,basic,minmax,80,390,0.003895
9,4,1,4,108,basic,minmax,108,83,0.001066
10,4,1,5,140,basic,minmax,140,938,0.021541
6,5,1,0,30,basic,minmax,30,11,0.000125
8,5,1,2,72,basic,minmax,72,684,0.006486
4,3,1,0,12,cycle,basic,12,4,3.6e-05
6,3,1,2,42,cycle,basic,42,23,8.3e-05
8,3,1,4,88,cycle,basic,88,407,0.001038
10,3,2,0,150,cycle,basic,150,16,8.6e-05
12,3,2,2,252,cycle,basic,252,130,0.000412
14,3,2,4,378,cycle,basic,378,3269,0.00985
16,3,2,6,528,basic,minmax,528,76427,1.75109
5,4,1,0,20,cycle,basic,20,7,5.3e-05
6,4,1,1,36,cycle,basic,36,36,0.000136
7,4,1,2,56,cycle,basic,56,59,0.000313
8,4,1,3,80,cycle,basic,80,151,0.000426
9,4,1,4,108,cycle,basic,108,117,0.000364
10,4,1,5,140,cycle,basic,140,10044,0.092077
6,5,1,0,30,cycle,basic,30,11,7.8e-05
8,5,1,2,72,cycle,basic,72,309,0.000963
4,3,1,0,12,cycle,minmax,12,4,4.6e-05
6,3,1,2,42,cycle,minmax,42,22,0.000225
8,3,1,4,88,cycle,minmax,88,70,0.000793
10,3,2,0,150,cycle,minmax,150,16,0.000324
12,3,2,2,252,cycle,minmax,252,130,0.001866
14,3,2,4,378,cycle,minmax,378,1969,0.053212
16,3,2,6,528,cycle,basic,528,309137,1.05528
5,4,1,0,20,cycle,minmax,20,7,9.9e-05
6,4,1,1,36,cycle,minmax,36,36,0.000309
7,4,1,2,56,cycle,minmax,56,58,0.000543
8,4,1,3,80,cycle,minmax,80,101,0.001053
9,4,1,4,108,cycle,minmax,108,37,0.000497
10,4,1,5,140,cycle,minmax,140,520,0.007333
6,5,1,0,30,cycle,minmax,30,11,0.000126
8,5,1,2,72,cycle,minmax,72,308,0.002968
4,3,1,0,12,stree,basic,12,4,4.6e-05
6,3,1,2,42,stree,basic,42,9,4.8e-05
8,3,1,4,88,stree,basic,88,16,7e-05
10,3,2,0,150,stree,basic,150,16,8.7e-05
12,3,2,2,252,stree,basic,252,27,0.000193
14,3,2,4,378,stree,basic,378,58,0.0002
16,3,2,6,528,stree,basic,528,184,0.00069
5,4,1,0,20,stree,basic,20,7,6.1e-05
16,3,2,6,528,cycle,minmax,528,22587,0.572272
6,4,1,1,36,stree,basic,36,23,0.000104
7,4,1,2,56,stree,basic,56,45,0.000172
8,4,1,3,80,stree,basic,80,19,8.9e-05
9,4,1,4,108,stree,basic,108,38,0.000329
6,5,1,0,30,stree,basic,30,11,8.6e-05
10,4,1,5,140,stree,basic,140,45,0.000247
4,3,1,0,12,stree,minmax,12,4,5.9e-05
8,5,1,2,72,stree,basic,72,224,0.000746
6,3,1,2,42,stree,minmax,42,9,0.00011
8,3,1,4,88,stree,minmax,88,15,0.000184
10,3,2,0,150,stree,minmax,150,16,0.000246
12,3,2,2,252,stree,minmax,252,27,0.000451
14,3,2,4,378,stree,minmax,378,51,0.000902
16,3,2,6,528,stree,minmax,528,69,0.001865
5,4,1,0,20,stree,minmax,20,7,9e-05
6,4,1,1,36,stree,minmax,36,23,0.000361
8,4,1,3,80,stree,minmax,80,19,0.000255
7,4,1,2,56,stree,minmax,56,45,0.00045
9,4,1,4,108,stree,minmax,108,32,0.000438
10,4,1,5,140,stree,minmax,140,38,0.000566
6,5,1,0,30,stree,minmax,30,11,0.000143
8,5,1,2,72,stree,minmax,72,224,0.004411
4,3,1,0,12,basic,basic,12,4,3.3e-05
6,3,1,2,42,basic,basic,42,44,0.000139
10,3,2,0,150,basic,basic,150,16,8.9e-05
8,3,1,4,88,basic,basic,88,642,0.003309
12,3,2,2,252,basic,basic,252,76,0.000307
14,3,2,4,378,basic,basic,378,3950,0.03969
5,4,1,0,20,basic,basic,20,7,5.1e-05
6,4,1,1,36,basic,basic,36,46,0.000163
7,4,1,2,56,basic,basic,56,131,0.000369
8,4,1,3,80,basic,basic,80,670,0.001751
9,4,1,4,108,basic,basic,108,506,0.001472
10,4,1,5,140,basic,basic,140,38126,0.281283
6,5,1,0,30,basic,basic,30,11,7.6e-05
8,5,1,2,72,basic,basic,72,711,0.002097
4,3,1,0,12,basic,minmax,12,4,4.8e-05
6,3,1,2,42,basic,minmax,42,38,0.000348
8,3,1,4,88,basic,minmax,88,78,0.000894
10,3,2,0,150,basic,minmax,150,16,0.000272
12,3,2,2,252,basic,minmax,252,70,0.00103
14,3,2,4,378,basic,minmax,378,1300,0.046445
16,3,2,6,528,basic,minmax,528,76427,1.70703
5,4,1,0,20,basic,minmax,20,7,8.2e-05
6,4,1,1,36,basic,minmax,36,46,0.00042
7,4,1,2,56,basic,minmax,56,119,0.001073
8,4,1,3,80,basic,minmax,80,390,0.003992
9,4,1,4,108,basic,minmax,108,83,0.001142
10,4,1,5,140,basic,minmax,140,938,0.032453
6,5,1,0,30,basic,minmax,30,11,0.000144
8,5,1,2,72,basic,minmax,72,684,0.006443
4,3,1,0,12,cycle,basic,12,4,3.6e-05
6,3,1,2,42,cycle,basic,42,23,0.000143
