n,d,Q,R,sspl_lb,bdr,mgr,srt,sspl,edge,node,time
4,3,1,0,12,cycle,basic,sorted,12,3,4,3.5e-05
6,3,1,2,42,cycle,basic,sorted,42,8,20,7.5e-05
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000287
10,3,2,0,150,cycle,basic,sorted,150,15,16,9e-05
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.00023
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.00557
16,3,2,6,528,cycle,basic,sorted,528,64,100368,0.455653
5,4,1,0,20,cycle,basic,sorted,20,6,7,5.4e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.000158
7,4,1,2,56,cycle,basic,sorted,56,13,65,0.000203
8,4,1,3,80,cycle,basic,sorted,80,19,248,0.000756
9,4,1,4,108,cycle,basic,sorted,108,26,1004,0.002695
10,4,1,5,140,cycle,basic,sorted,140,34,6015,0.056848
6,5,1,0,30,cycle,basic,sorted,30,10,11,9.3e-05
8,5,1,2,72,cycle,basic,sorted,72,19,360,0.001093
4,3,1,0,12,cycle,minmax,sorted,12,3,4,5.2e-05
6,3,1,2,42,cycle,minmax,sorted,42,8,19,0.000181
8,3,1,4,88,cycle,minmax,sorted,88,19,52,0.00057
10,3,2,0,150,cycle,minmax,sorted,150,15,16,0.000244
12,3,2,2,252,cycle,minmax,sorted,252,26,60,0.000893
14,3,2,4,378,cycle,minmax,sorted,378,43,1000,0.019906
16,3,2,6,528,cycle,minmax,sorted,528,64,4124,0.192468
5,4,1,0,20,cycle,minmax,sorted,20,6,7,8.4e-05
6,4,1,1,36,cycle,minmax,sorted,36,8,44,0.000609
7,4,1,2,56,cycle,minmax,sorted,56,13,62,0.000644
8,4,1,3,80,cycle,minmax,sorted,80,19,169,0.001759
9,4,1,4,108,cycle,minmax,sorted,108,26,282,0.003448
10,4,1,5,140,cycle,minmax,sorted,140,34,555,0.007372
6,5,1,0,30,cycle,minmax,sorted,30,10,11,0.000145
8,5,1,2,72,cycle,minmax,sorted,72,19,355,0.003383
4,3,1,0,12,stree,basic,basic,12,3,4,4.5e-05
6,3,1,2,42,stree,basic,basic,42,8,9,9.5e-05
8,3,1,4,88,stree,basic,basic,88,13,16,7e-05
10,3,2,0,150,stree,basic,basic,150,15,16,8.5e-05
12,3,2,2,252,stree,basic,basic,252,26,27,0.000111
14,3,2,4,378,stree,basic,basic,378,41,58,0.000204
16,3,2,6,528,stree,basic,basic,528,60,184,0.000816
5,4,1,0,20,stree,basic,basic,20,6,7,6.1e-05
6,4,1,1,36,stree,basic,basic,36,9,23,0.000104
7,4,1,2,56,stree,basic,basic,56,13,45,0.00021
8,4,1,3,80,stree,basic,basic,80,18,19,9e-05
9,4,1,4,108,stree,basic,basic,108,24,38,0.000149
10,4,1,5,140,stree,basic,basic,140,31,45,0.000167
6,5,1,0,30,stree,basic,basic,30,10,11,8.5e-05
8,5,1,2,72,stree,basic,basic,72,19,224,0.000714
4,3,1,0,12,stree,minmax,basic,12,3,4,5.5e-05
6,3,1,2,42,stree,minmax,basic,42,8,9,0.000133
8,3,1,4,88,stree,minmax,basic,88,13,15,0.000379
10,3,2,0,150,stree,minmax,basic,150,15,16,0.00024
12,3,2,2,252,stree,minmax,basic,252,26,27,0.000462
14,3,2,4,378,stree,minmax,basic,378,41,51,0.001046
16,3,2,6,528,stree,minmax,basic,528,60,69,0.001676
5,4,1,0,20,stree,minmax,basic,20,6,7,9.3e-05
6,4,1,1,36,stree,minmax,basic,36,9,23,0.000269
7,4,1,2,56,stree,minmax,basic,56,13,45,0.000465
8,4,1,3,80,stree,minmax,basic,80,18,19,0.000346
9,4,1,4,108,stree,minmax,basic,108,24,32,0.000477
10,4,1,5,140,stree,minmax,basic,140,31,38,0.000669
6,5,1,0,30,stree,minmax,basic,30,10,11,0.000249
8,5,1,2,72,stree,minmax,basic,72,19,224,0.00248
4,3,1,0,12,basic,basic,basic,12,3,4,3.9e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000136
8,3,1,4,88,basic,basic,basic,88,21,642,0.00199
10,3,2,0,150,basic,basic,basic,150,15,16,0.000142
12,3,2,2,252,basic,basic,basic,252,28,76,0.000284
14,3,2,4,378,basic,basic,basic,378,45,3950,0.040855
16,3,2,6,528,basic,basic,basic,528,66,4066148,14.4082
5,4,1,0,20,basic,basic,basic,20,6,7,5.5e-05
6,4,1,1,36,basic,basic,basic,36,10,46,0.000161
7,4,1,2,56,basic,basic,basic,56,15,131,0.000366
8,4,1,3,80,basic,basic,basic,80,21,670,0.001721
9,4,1,4,108,basic,basic,basic,108,28,506,0.001362
10,4,1,5,140,basic,basic,basic,140,36,38126,0.274711
6,5,1,0,30,basic,basic,basic,30,10,11,7.9e-05
8,5,1,2,72,basic,basic,basic,72,21,711,0.002203
4,3,1,0,12,basic,minmax,basic,12,3,4,5.3e-05
6,3,1,2,42,basic,minmax,basic,42,10,38,0.000425
8,3,1,4,88,basic,minmax,basic,88,21,78,0.000897
10,3,2,0,150,basic,minmax,basic,150,15,16,0.000247
12,3,2,2,252,basic,minmax,basic,252,28,70,0.001038
14,3,2,4,378,basic,minmax,basic,378,45,1300,0.065619
16,3,2,6,528,basic,basic,basic,528,66,4066148,14.8503
5,4,1,0,20,basic,minmax,basic,20,6,7,8.3e-05
6,4,1,1,36,basic,minmax,basic,36,10,46,0.000399
7,4,1,2,56,basic,minmax,basic,56,15,119,0.001028
8,4,1,3,80,basic,minmax,basic,80,21,390,0.004043
9,4,1,4,108,basic,minmax,basic,108,28,83,0.001083
10,4,1,5,140,basic,minmax,basic,140,36,938,0.032922
6,5,1,0,30,basic,minmax,basic,30,10,11,0.000127
8,5,1,2,72,basic,minmax,basic,72,21,684,0.006544
4,3,1,0,12,cycle,basic,sorted,12,3,4,3.6e-05
6,3,1,2,42,cycle,basic,sorted,42,8,20,7.8e-05
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000292
10,3,2,0,150,cycle,basic,sorted,150,15,16,9e-05
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.000277
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.006076
16,3,2,6,528,cycle,basic,sorted,528,64,100368,0.481531
5,4,1,0,20,cycle,basic,sorted,20,6,7,5.4e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.000158
