n,p-or-m,type,seed,m,test,time-igraph,time
10,0.3,random,2173888152,14,1,1.4e-05,1.1e-05
10,0.6,random,1110486666,30,1,1.6e-05,1.4e-05
10,0.9,random,333050915,41,1,2.2e-05,1.8e-05
50,0.1,random,1576857695,131,1,0.000199,0.000177
50,0.3,random,656588917,370,1,0.000306,9.9e-05
50,0.6,random,3075396009,729,1,0.000468,0.024598
50,0.9,random,971085403,1109,1,0.001229,0.000195
100,0.1,random,1442263803,480,1,0.00191,0.00088
100,0.3,random,2393893874,1446,1,0.00343,0.000994
100,0.6,random,2968655173,2926,1,0.00704,0.001123
100,0.9,random,3758907005,4441,1,0.011199,0.001575
300,0.1,random,1697612666,4457,1,0.016156,0.00584
1000,0.6,random,875611073,299588,1,2.70716,0.050707
300,0.3,random,1560778219,13452,1,0.038436,0.005202
300,0.9,random,279334744,40451,1,0.10219,0.004375
300,0.6,random,243882552,26987,1,0.072563,0.004611
600,20,scale-free,3472465246,11979,1,0.078928,0.022748
600,0.1,random,310026885,18231,1,0.10842,0.021851
600,0.3,random,647747667,54110,1,0.293521,0.01941
1000,20,scale-free,3473799494,19979,1,0.209233,0.056773
600,0.9,random,975184348,161751,1,0.827781,0.018121
1000,0.1,random,1562702817,49419,1,0.468979,0.054122
1000,0.9,random,699979111,449525,1,3.82676,0.051144
10,3,scale-free,2530582694,26,1,1.6e-05,7e-06
10,6,scale-free,1961709734,53,1,1.7e-05,5e-06
50,3,scale-free,2222620578,146,1,0.000171,0.0001
600,0.6,random,997111640,107673,1,0.552839,0.016979
1000,15,scale-free,3932922484,14984,1,0.171842,0.045965
50,6,scale-free,890354536,293,1,0.000399,0.000186
50,10,scale-free,3232300000,489,1,0.001007,0.000255
100,3,scale-free,3685526948,296,1,0.001392,0.000665
100,6,scale-free,4061164632,593,1,0.001726,0.000772
50,15,scale-free,2347560878,734,1,0.00058,0.000116
50,20,scale-free,3938636358,979,1,0.000561,8.7e-05
100,10,scale-free,1499511618,989,1,0.001354,0.000427
300,3,scale-free,702470786,896,1,0.006086,0.004734
100,15,scale-free,3254517019,1484,1,0.001746,0.00041
300,6,scale-free,1358529751,1793,1,0.008521,0.004848
100,20,scale-free,3205257774,1979,1,0.002255,0.000417
300,10,scale-free,1005103616,2989,1,0.011887,0.004781
600,3,scale-free,3619928251,1796,1,0.025749,0.019365
600,6,scale-free,1039327258,3593,1,0.034288,0.019422
300,15,scale-free,3574202175,4484,1,0.015604,0.00429
300,20,scale-free,961697682,5979,1,0.019005,0.004518
600,10,scale-free,908391606,5989,1,0.047931,0.02019
1000,3,scale-free,2293718299,2996,1,0.072222,0.053439
1000,6,scale-free,1368452727,5993,1,0.094481,0.051026
600,15,scale-free,2307252557,8984,1,0.063215,0.026445
1000,0.3,random,2760669153,149892,1,1.44972,0.051435
1000,10,scale-free,3403357323,9989,1,0.134035,0.050783
10,0.1,random,1636523965,1,1,1.1e-05,6e-06
10,0.3,random,2173888152,14,1,1.3e-05,1.1e-05
10,0.6,random,1110486666,30,1,1.5e-05,1.2e-05
10,0.9,random,333050915,41,1,1.4e-05,1e-05
50,0.1,random,1576857695,131,1,0.000201,0.000183
50,0.3,random,656588917,370,1,0.000297,9.8e-05
50,0.6,random,3075396009,729,1,0.000543,0.000126
50,0.9,random,971085403,1109,1,0.000503,9.5e-05
100,0.1,random,1442263803,480,1,0.002751,0.001194
100,0.3,random,2393893874,1446,1,0.003469,0.000958
100,0.6,random,2968655173,2926,1,0.005931,0.00086
100,0.9,random,3758907005,4441,1,0.009881,0.001596
300,0.1,random,1697612666,4457,1,0.014348,0.004604
300,0.3,random,1560778219,13452,1,0.036825,0.004363
300,0.6,random,243882552,26987,1,0.070305,0.006705
1000,0.6,random,875611073,299588,1,2.72994,0.050537
600,0.1,random,310026885,18231,1,0.109684,0.018679
300,0.9,random,279334744,40451,1,0.106326,0.004048
600,20,scale-free,3472465246,11979,1,0.078381,0.020708
600,0.3,random,647747667,54110,1,0.279195,0.021355
1000,20,scale-free,3473799494,19979,1,0.21444,0.049641
1000,0.1,random,1562702817,49419,1,0.468152,0.050815
600,0.9,random,975184348,161751,1,0.818279,0.018197
1000,0.9,random,699979111,449525,1,3.85405,0.05315
10,3,scale-free,2530582694,26,1,1.6e-05,6e-06
10,6,scale-free,1961709734,53,1,1.7e-05,7e-06
50,3,scale-free,2222620578,146,1,0.000179,9e-05
50,6,scale-free,890354536,293,1,0.00025,0.000104
50,10,scale-free,3232300000,489,1,0.000667,0.0002
50,15,scale-free,2347560878,734,1,0.000438,0.000142
50,20,scale-free,3938636358,979,1,0.00052,9.4e-05
100,3,scale-free,3685526948,296,1,0.001252,0.000879
100,6,scale-free,4061164632,593,1,0.002885,0.001086
100,10,scale-free,1499511618,989,1,0.001394,0.000514
100,15,scale-free,3254517019,1484,1,0.001732,0.000395
100,20,scale-free,3205257774,1979,1,0.002113,0.000437
300,3,scale-free,702470786,896,1,0.006044,0.004474
