n,d,Q,R,sspl_lb,bdr,srt,mgr,sspl,edge,node,time
4,3,1,0,12,stree,basic,basic,12,3,4,5e-05
6,3,1,2,42,stree,basic,basic,42,8,9,5.4e-05
8,3,1,4,88,stree,basic,basic,88,13,16,7.4e-05
10,3,2,0,150,stree,basic,basic,150,15,16,8.7e-05
12,3,2,2,252,stree,basic,basic,252,26,27,0.000114
14,3,2,4,378,stree,basic,basic,378,41,58,0.000194
16,3,2,6,528,stree,basic,basic,528,60,184,0.001183
5,4,1,0,20,stree,basic,basic,20,6,7,9.9e-05
6,4,1,1,36,stree,basic,basic,36,9,23,0.000177
7,4,1,2,56,stree,basic,basic,56,13,45,0.000251
8,4,1,3,80,stree,basic,basic,80,18,19,0.000299
9,4,1,4,108,stree,basic,basic,108,24,38,0.000142
10,4,1,5,140,stree,basic,basic,140,31,45,0.000161
11,4,1,6,176,stree,basic,basic,176,39,135,0.000567
4,3,1,0,12,stree,basic,matrix,12,3,4,4.4e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,7.4e-05
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000131
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000176
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000454
14,3,2,4,378,stree,basic,matrix,378,41,51,0.00122
16,3,2,6,528,stree,basic,matrix,528,60,69,0.001564
5,4,1,0,20,stree,basic,matrix,20,6,7,6.2e-05
6,4,1,1,36,stree,basic,matrix,36,9,23,0.000171
7,4,1,2,56,stree,basic,matrix,56,13,45,0.000417
8,4,1,3,80,stree,basic,matrix,80,18,19,0.000175
9,4,1,4,108,stree,basic,matrix,108,24,32,0.000305
10,4,1,5,140,stree,basic,matrix,140,31,38,0.000438
11,4,1,6,176,stree,basic,matrix,176,39,63,0.000817
4,3,1,0,12,stree,basic,minmax,12,3,4,6.1e-05
6,3,1,2,42,stree,basic,minmax,42,8,9,0.000103
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000272
10,3,2,0,150,stree,basic,minmax,150,15,16,0.00024
12,3,2,2,252,stree,basic,minmax,252,26,27,0.00045
14,3,2,4,378,stree,basic,minmax,378,41,51,0.000889
16,3,2,6,528,stree,basic,minmax,528,60,69,0.001423
5,4,1,0,20,stree,basic,minmax,20,6,7,8.9e-05
6,4,1,1,36,stree,basic,minmax,36,9,23,0.000211
7,4,1,2,56,stree,basic,minmax,56,13,45,0.000421
8,4,1,3,80,stree,basic,minmax,80,18,19,0.000312
9,4,1,4,108,stree,basic,minmax,108,24,32,0.000481
