n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,sspl,n_edge,n_state,time
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000742
14,3,2,4,378,stree,basic,minmax,378,41,51,0.001584
16,3,2,6,528,stree,basic,minmax,528,60,69,0.00238
4,3,1,0,12,cycle,sorted,basic,12,3,4,8.4e-05
6,3,1,2,42,cycle,sorted,basic,42,8,20,0.000171
8,3,1,4,88,cycle,sorted,basic,88,19,116,0.000232
10,3,2,0,150,cycle,sorted,basic,150,15,16,7.2e-05
12,3,2,2,252,cycle,sorted,basic,252,26,60,0.000361
14,3,2,4,378,cycle,sorted,basic,378,43,1765,0.009342
16,3,2,6,528,cycle,basic,minmax,528,64,10649,0.257552
4,3,1,0,12,cycle,sorted,matrix,12,3,4,2.4e-05
6,3,1,2,42,cycle,sorted,matrix,42,8,19,0.000103
8,3,1,4,88,cycle,sorted,matrix,88,19,52,0.000379
10,3,2,0,150,cycle,sorted,matrix,150,15,16,0.000296
12,3,2,2,252,cycle,sorted,matrix,252,26,60,0.001481
14,3,2,4,378,cycle,sorted,matrix,378,43,1000,0.044805
16,3,2,6,528,cycle,sorted,matrix,528,64,4124,0.191373
4,3,1,0,12,cycle,sorted,minmax,12,3,4,8e-05
6,3,1,2,42,cycle,sorted,minmax,42,8,19,0.000283
8,3,1,4,88,cycle,sorted,minmax,88,19,52,0.001022
10,3,2,0,150,cycle,sorted,minmax,150,15,16,0.000431
12,3,2,2,252,cycle,sorted,minmax,252,26,60,0.001492
14,3,2,4,378,cycle,sorted,minmax,378,43,1000,0.02908
16,3,2,6,528,cycle,sorted,basic,528,64,100368,0.396175
4,3,1,0,12,basic,basic,basic,12,3,4,6.3e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000221
8,3,1,4,88,basic,basic,basic,88,21,642,0.003055
10,3,2,0,150,basic,basic,basic,150,15,16,7.6e-05
12,3,2,2,252,basic,basic,basic,252,28,76,0.000484
16,3,2,6,528,cycle,sorted,minmax,528,64,4124,0.199301
14,3,2,4,378,basic,basic,basic,378,45,3950,0.022245
4,3,1,0,12,basic,basic,matrix,12,3,4,2.4e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000202
8,3,1,4,88,basic,basic,matrix,88,21,78,0.000545
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000146
12,3,2,2,252,basic,basic,matrix,252,28,70,0.000921
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.108117
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.57032
4,3,1,0,12,basic,basic,minmax,12,3,4,8.1e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000534
8,3,1,4,88,basic,basic,minmax,88,21,78,0.001424
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000395
12,3,2,2,252,basic,basic,minmax,252,28,70,0.001977
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.035118
16,3,2,6,528,basic,basic,minmax,528,66,76427,1.4639
4,3,1,0,12,cycle,basic,basic,12,3,4,5.9e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,0.000134
8,3,1,4,88,cycle,basic,basic,88,19,501,0.002028
10,3,2,0,150,cycle,basic,basic,150,15,16,0.000143
12,3,2,2,252,cycle,basic,basic,252,26,130,0.000644
14,3,2,4,378,cycle,basic,basic,378,43,3508,0.017709
