n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,sspl,n_edge,n_state,time
30,4,2,13,2010,stree,basic,matrix,2010,287,8162,0.491885
4,3,1,0,12,stree,basic,minmax,12,3,4,4.9e-05
6,3,1,2,42,stree,basic,minmax,42,8,9,8.5e-05
8,3,1,4,88,stree,basic,minmax,88,13,15,0.000162
10,3,2,0,150,stree,basic,minmax,150,15,16,0.000194
12,3,2,2,252,stree,basic,minmax,252,26,27,0.000359
14,3,2,4,378,stree,basic,minmax,378,41,51,0.000735
16,3,2,6,528,stree,basic,minmax,528,60,69,0.001145
18,3,2,8,702,stree,basic,minmax,702,62,100,0.001931
20,3,2,10,900,stree,basic,minmax,900,64,147,0.003292
29,4,2,12,1856,stree,basic,matrix,1856,264,13969,0.695219
24,3,3,2,1416,stree,basic,minmax,1416,89,830,0.032319
22,3,3,0,1122,stree,basic,minmax,0,66,12195,0.390043
28,3,3,6,2100,stree,basic,minmax,2100,147,10575,0.45193
18,4,2,1,558,stree,basic,minmax,0,77,1329149,27.4342
5,4,1,0,20,stree,basic,minmax,20,6,7,7.7e-05
6,4,1,1,36,stree,basic,minmax,36,9,23,0.000208
7,4,1,2,56,stree,basic,minmax,56,13,45,0.000357
8,4,1,3,80,stree,basic,minmax,80,18,19,0.000201
9,4,1,4,108,stree,basic,minmax,108,24,32,0.000382
10,4,1,5,140,stree,basic,minmax,140,31,38,0.000436
11,4,1,6,176,stree,basic,minmax,176,39,63,0.000766
12,4,1,7,216,stree,basic,minmax,216,48,88,0.001143
13,4,1,8,260,stree,basic,minmax,260,58,128,0.001824
14,4,1,9,308,stree,basic,minmax,308,60,245441,3.89728
15,4,1,10,360,stree,basic,minmax,360,62,606,0.019801
26,3,3,4,1742,stree,basic,minmax,1742,116,234299,7.1496
17,4,2,0,476,stree,basic,minmax,0,66,13502,0.369719
30,3,3,8,2490,stree,basic,minmax,2490,182,249621,9.02195
19,4,2,2,646,stree,basic,minmax,646,89,100,0.002362
20,4,2,3,740,stree,basic,minmax,740,102,125067,2.70473
21,4,2,4,840,stree,basic,minmax,840,116,90043,1.99439
22,4,2,5,946,stree,basic,minmax,946,131,899,0.059336
23,4,2,6,1058,stree,basic,minmax,1058,147,209,0.005981
24,4,2,7,1176,stree,basic,minmax,1176,164,240,0.007165
